"date(UTC+0)","executed_qty","amount","price","side","symbol","fee","fee_coin","market_type","tax_id"
"2025-07-07 20:25:34","0.00393931000000000000","9.99997782810000000000","2538.51000000","BUY","ETH_USDT","0.00000197","ETH","Spot","s_0"
"2025-07-07 20:38:31","0.00394000000000000000","10.01906540000000000000","2542.91000000","SELL","ETH_USDT","0.00500953","USDT","Spot","s_0"
"2025-07-07 22:03:32","0.17400000000000000000","441.11991000000000000000","2535.17189655","SELL","ETH_USDT_PERP","0.15661476","USDT","Futures USDT","s_82"
"2025-07-07 22:04:18","0.06356000000000000000","162.13801880000000000000","2550.94428571","SELL","ETH_USDT","0.08106904","USDT","Spot","s_62"
"2025-07-08 00:26:14","0.14351000000000000000","372.27578900000000000000","2594.07559752","BUY","ETH_USDT","0.00007181","ETH","Spot","s_62"
"2025-07-08 00:26:17","0.11100000000000000000","283.68750000000000000000","2555.74324324","BUY","ETH_USDT_PERP","0.13499486","USDT","Futures USDT","s_82"
"2025-07-08 02:45:54","0.01800000000000000000","45.72786000000000000000","2540.43666667","SELL","ETH_USDT_PERP","0.00914558","USDT","Futures USDT","s_82"
"2025-07-08 22:13:31","0.25877000000000000000","678.72043930000000000000","2622.87142752","SELL","ETH_USDT","0.33936020","USDT","Spot","s_62"
"2025-07-09 01:06:29","0.25811000000000000000","700.74268840000000000000","2714.89941653","BUY","ETH_USDT","0.00012911","ETH","Spot","s_62"
"2025-07-09 13:00:10","0.01000000000000000000","26.89640000000000000000","2689.64000000","BUY","ETH_USDT_PERP","0.01344821","USDT","Futures USDT","s_84"
"2025-07-09 23:54:17","0.21140000000000000000","573.13632600000000000000","2711.14629139","SELL","ETH_USDT","0.28656820","USDT","Spot","s_62"
"2025-07-10 01:19:08","0.51219000000000000000","1480.25627340000000000000","2890.05305336","BUY","ETH_USDT","0.00025626","ETH","Spot","s_62"
"2025-07-10 14:26:45","0.01000000000000000000","27.62820000000000000000","2762.82000000","SELL","ETH_USDT_PERP","0.01381410","USDT","Futures USDT","s_84"
"2025-07-10 18:00:14","0.00500000000000000000","14.12095000000000000000","2824.19000000","BUY","ETH_USDT_PERP","0.00706048","USDT","Futures USDT","s_84"
"2025-07-10 20:16:45","99.98000000000000000000","99.90001600000000000000","0.99920000","SELL","USDC_USDT","0.04995001","USDT","Spot","s_0"
"2025-07-10 23:32:30","0.50464000000000000000","1463.56697460000000000000","2900.21990845","SELL","ETH_USDT","0.73178352","USDT","Spot","s_62"
"2025-07-11 00:18:12","0.40200000000000000000","1196.59370080000000000000","2976.60124577","BUY","ETH_USDT","0.00020100","ETH","Spot","s_62"
"2025-07-11 15:54:44","0.00500000000000000000","14.72745000000000000000","2945.49000000","SELL","ETH_USDT_PERP","0.00736373","USDT","Futures USDT","s_84"
"2025-07-11 20:00:17","0.04100000000000000000","123.17056000000000000000","3004.16000000","BUY","ETH_USDT_PERP","0.06158528","USDT","Futures USDT","s_89"
"2025-07-11 22:39:50","0.40180000000000000000","1199.47746800000000000000","2985.26000000","SELL","ETH_USDT","0.59973876","USDT","Spot","s_62"
"2025-07-12 00:02:48","0.11768000000000000000","345.76888880000000000000","2938.21285520","BUY","ETH_USDT","0.00005884","ETH","Spot","s_62"
"2025-07-12 12:37:31","0.04100000000000000000","120.31122000000000000000","2934.42000000","SELL","ETH_USDT_PERP","0.06015561","USDT","Futures USDT","s_89"
"2025-07-12 22:17:40","0.13720000000000000000","404.09114200000000000000","2945.27071429","SELL","ETH_USDT","0.20204562","USDT","Spot","s_62"
"2025-07-13 02:55:24","0.13728000000000000000","408.02001140000000000000","2972.17374272","BUY","ETH_USDT","0.00006864","ETH","Spot","s_62"
"2025-07-13 23:10:50","0.13720000000000000000","408.84291700000000000000","2979.90464286","SELL","ETH_USDT","0.20442149","USDT","Spot","s_62"
"2025-07-14 00:23:53","0.31160000000000000000","941.21486720000000000000","3020.58686521","BUY","ETH_USDT","0.00015580","ETH","Spot","s_62"
"2025-07-14 23:17:14","0.29120000000000000000","884.73826640000000000000","3038.24954121","SELL","ETH_USDT","0.44236912","USDT","Spot","s_62"
"2025-07-15 00:23:32","0.40948000000000000000","1238.64323140000000000000","3024.91753297","BUY","ETH_USDT","0.00020485","ETH","Spot","s_62"
"2025-07-15 23:50:35","0.44926000000000000000","1362.74325550000000000000","3033.30644949","SELL","ETH_USDT","0.68137156","USDT","Spot","s_62"
"2025-07-16 00:18:25","0.51917000000000000000","1702.19898500000000000000","3278.69288480","BUY","ETH_USDT","0.00025983","ETH","Spot","s_62"
"2025-07-16 07:00:05","0.03700000000000000000","117.11425000000000000000","3165.25000000","BUY","ETH_USDT_PERP","0.05855713","USDT","Futures USDT","s_89"
"2025-07-16 23:34:19","0.49814000000000000000","1639.42315970000000000000","3291.08917112","SELL","ETH_USDT","0.81971158","USDT","Spot","s_62"
"2025-07-17 00:03:24","0.45487000000000000000","1558.13978720000000000000","3425.46175215","BUY","ETH_USDT","0.00022753","ETH","Spot","s_62"
"2025-07-17 23:36:25","0.48203000000000000000","1657.96284660000000000000","3439.54286372","SELL","ETH_USDT","0.82898141","USDT","Spot","s_62"
"2025-07-18 00:04:30","0.56395000000000000000","2021.60172790000000000000","3584.71802092","BUY","ETH_USDT","0.00028215","ETH","Spot","s_62"
"2025-07-18 20:07:12","0.03700000000000000000","129.89701000000000000000","3510.73000000","SELL","ETH_USDT_PERP","0.06494851","USDT","Futures USDT","s_89"
