"position_id","symbol","position_side","open_time","close_time","pnl","fee","funding_fee"
"42975442786934_118_ETH_USDT_PERP_L_48813951104","ETH_USDT_PERP","long","2025-08-09 08:36:15","2025-08-09 09:36:56","1.768130000000000000","-0.6806014150","0.0000000000"
"42975442786934_119_ETH_USDT_PERP_L_48818465854","ETH_USDT_PERP","long","2025-08-09 09:37:20","2025-08-09 09:54:01","4.048200000000000000","-0.6123561600","0.0000000000"
"42975442786934_120_ETH_USDT_PERP_L_48819989970","ETH_USDT_PERP","long","2025-08-09 09:54:22","2025-08-09 10:14:24","1.597180000000000000","-0.4779649160","0.0000000000"
"42975442786934_89_ETH_USDT_PERP_L_48629284034","ETH_USDT_PERP","long","2025-08-07 12:00:10","2025-08-10 07:37:21","9.824220000000000000","-0.1083528900","-0.0808911061"
"42975442786934_121_ETH_USDT_PERP_L_48822053212","ETH_USDT_PERP","long","2025-08-09 10:15:20","2025-08-10 19:30:13","4.090510000000000000","-4.5841449430","-0.4849283455"
"42975442786934_123_ETH_USDT_PERP_S_49118316184","ETH_USDT_PERP","short","2025-08-12 05:40:24","2025-08-12 06:01:07","-0.092470000000000000","-0.0287049430","0.0000000000"
"42975442786934_124_ETH_USDT_PERP_L_49120027518","ETH_USDT_PERP","long","2025-08-12 06:10:31","2025-08-12 06:56:45","0.144470000000000000","-0.1150000280","0.0000000000"
"42975442786934_125_ETH_USDT_PERP_L_49126228101","ETH_USDT_PERP","long","2025-08-12 08:00:21","2025-08-12 08:03:40","-0.057820000000000000","-0.0806307350","0.0000000000"
"42975442786934_122_ETH_USDT_PERP_L_48957043165","ETH_USDT_PERP","long","2025-08-10 19:31:22","2025-08-12 12:42:50","63.257790000000000000","-5.4959489450","-0.4075250264"
"42975442786934_126_ETH_USDT_PERP_L_49150798809","ETH_USDT_PERP","long","2025-08-12 13:22:03","2025-08-12 20:17:13","8.670320000000000000","-0.4191438880","-0.0250374880"
"42975442786934_127_ETH_USDT_PERP_L_49191517451","ETH_USDT_PERP","long","2025-08-12 20:18:32","2025-08-13 06:15:22","6.082010000000000000","-0.6768305440","-0.0458931000"
"42975442786934_89_ETH_USDT_PERP_L_49196362668","ETH_USDT_PERP","long","2025-08-12 21:00:04","2025-08-14 12:32:39","0.900760000000000000","-0.1297420600","-0.0654507718"
"42975442786934_128_ETH_USDT_PERP_L_49246462569","ETH_USDT_PERP","long","2025-08-13 08:06:13","2025-08-14 12:34:44","-1.121490000000000000","-3.1558975270","-0.1203555115"
"42975442786934_86_ETH_USDT_PERP_L_48800000280","ETH_USDT_PERP","long","2025-08-09 05:15:02","2025-08-14 13:30:07","10.101510000000000000","-0.1173205350","-0.1803984530"
"42975442786934_89_ETH_USDT_PERP_L_49469114861","ETH_USDT_PERP","long","2025-08-15 03:00:04","2025-08-15 14:47:32","-3.274320000000000000","-0.1277211600","-0.0125183421"
"42975442786934_130_ETH_USDT_PERP_L_49403378947","ETH_USDT_PERP","long","2025-08-14 14:38:28","2025-08-15 15:28:41","-10.672280000000000000","-0.6579873920","-0.0394076405"
"42975442786934_86_ETH_USDT_PERP_S_49530648315","ETH_USDT_PERP","short","2025-08-15 16:15:06","2025-08-15 17:45:02","-1.879530000000000000","-0.1370306950","0.0000000000"
"42975442786934_131_ETH_USDT_PERP_L_49554912219","ETH_USDT_PERP","long","2025-08-15 20:15:26","2025-08-16 11:54:46","1.197900000000000000","-0.5005698300","-0.0272345155"
"42975442786934_132_ETH_USDT_PERP_L_49608180121","ETH_USDT_PERP","long","2025-08-16 12:22:54","2025-08-16 12:30:11","0.048330000000000000","-0.0052607940","0.0000000000"
"42975442786934_132_ETH_USDT_PERP_S_49610704465","ETH_USDT_PERP","short","2025-08-16 12:59:37","2025-08-16 13:47:49","0.096630000000000000","-0.0105795660","0.0000000000"
"42975442786934_132_ETH_USDT_PERP_S_49616085853","ETH_USDT_PERP","short","2025-08-16 14:28:44","2025-08-16 14:37:06","0.048300000000000000","-0.0052801200","0.0000000000"
"42975442786934_132_ETH_USDT_PERP_S_49617255025","ETH_USDT_PERP","short","2025-08-16 14:49:12","2025-08-16 15:38:50","0.048300000000000000","-0.0052801200","0.0000000000"
"42975442786934_132_ETH_USDT_PERP_S_49621303258","ETH_USDT_PERP","short","2025-08-16 16:10:30","2025-08-16 17:15:08","0.048300000000000000","-0.0052801200","0.0000000000"
"42975442786934_132_ETH_USDT_PERP_S_49626100449","ETH_USDT_PERP","short","2025-08-16 18:11:49","2025-08-17 09:00:14","-1.457940000000000000","-0.1173375390","0.0009109056"
"42975442786934_134_ETH_USDT_PERP_S_49670006898","ETH_USDT_PERP","short","2025-08-17 10:54:12","2025-08-17 12:07:44","0.100110000000000000","-0.0109308540","0.0000000000"
"42975442786934_134_ETH_USDT_PERP_L_49676332884","ETH_USDT_PERP","long","2025-08-17 13:14:47","2025-08-17 13:48:43","0.050070000000000000","-0.0054353940","0.0000000000"
"42975442786934_134_ETH_USDT_PERP_S_49680450500","ETH_USDT_PERP","short","2025-08-17 14:45:41","2025-08-17 16:16:11","0.050040000000000000","-0.0054554160","0.0007297309"
"42975442786934_134_ETH_USDT_PERP_L_49686059944","ETH_USDT_PERP","long","2025-08-17 16:30:36","2025-08-18 02:09:31","-2.010690000000000000","-0.1512556260","-0.0003391446"
